#progeny
#Accession
t19-10-107-9411	T19-10-107-9411
t19-10-2-9435	T19-10-2-9435
t19-10-75-9411	T19-10-75-9411
t19-12-101-9418	T19-12-101-9418
t19-13-23-9418	T19-13-23-9418
t19-13-3-9418	T19-13-3-9418
t19-14-54-9427	T19-14-54-9427
t19-15-25-9427	T19-15-25-9427
t19-16-128-9427	T19-16-128-9427
t19-18-3-9427	T19-18-3-9427
t19-18-5-9427	T19-18-5-9427
t19-20-106-9427	T19-20-106-9427
t19-22-110-9427	T19-22-110-9427
t19-26-11-9402	T19-26-11-9402
t19-34-27-9421	T19-34-27-9421
t19-34-40-9421	T19-34-40-9421
t19-34-88-9414	T19-34-88-9414
t19-37-104-9401	T19-37-104-9401
t19-39-22-9431	T19-39-22-9431
t19-40-23-9423	T19-40-23-9423
t19-41-24-9423	T19-41-24-9423
t19-42-2-9426	T19-42-2-9426
t19-44-2-9429	T19-44-2-9429
t19-58-31-9431	T19-58-31-9431
t19-58-90-9442	T19-58-90-9442
t19-8-35-9412	T19-8-35-9412
t19-8-42-9412	T19-8-42-9412
t19-9-51-9435	T19-9-51-9435
t21-18-49-9523	T21-18-49-9523
wsu5	WSU5
t18-12-29-9508	T18-12-29-9508
t18-5-19-9515	T18-5-19-9515
t18-5-7-9519	T18-5-7-9519
t18-6-36-9512	T18-6-36-9512
t18-or-77-9427	T18-OR-77-9427
t19-10-100-9427	T19-10-100-9427
t19-10-19-9435	T19-10-19-9435
t19-10-2-9435	T19-10-2-9435
t19-10-2-9435	T19-10-2-9435
t19-10-2-9435	T19-10-2-9435
t19-10-49-9435	T19-10-49-9435
t19-10-54-9435	T19-10-54-9435
t19-11-104-9417	T19-11-104-9417
t19-11-64-9420	T19-11-64-9420
t19-11-64-9420	T19-11-64-9420
t19-11-90-9420	T19-11-90-9420
t19-12-106-9418	T19-12-106-9418
t19-12-1-9417	T19-12-1-9417
t19-12-72-9417	T19-12-72-9417
t19-13-95-9427	T19-13-95-9427
t19-14-117-9427	T19-14-117-9427
t19-14-89-9427	T19-14-89-9427
t19-15-26-9427	T19-15-26-9427
t19-17-15-9427	T19-17-15-9427
t19-18-11-9427	T19-18-11-9427
t19-18-5-9427	T19-18-5-9427
t19-18-72-9427	T19-18-72-9427
t19-18-97-9425	T19-18-97-9425
