unique_id,old_plot,plot,col,iblock,entry,rep,accession,Source,trait,value,timestamp,person,location,number
NC17_10223,1223,10223,7,28,180,1,TX-2403-2, AZ_16_203  ,50% open boll,8/30/2017,8/30/2017 11:03, ,,1
NC17_10217,1217,10217,1,28,148,1,TX-1425-1, AZ_16_167  ,50% open boll,8/27/2017,8/30/2017 11:04, ,,1
NC17_10209,1209,10209,1,27,191,1,TX-2389-2, AZ_16_214  ,50% open boll,8/30/2017,8/30/2017 11:04, ,,1
NC17_10207,1207,10207,7,26,46,1,TX-2362,AZ_14_638,50% open boll,8/30/2017,8/30/2017 11:04, ,,1
NC17_10199,1199,10199,7,25,55,1,TX-2376,AZ_14_649,50% open boll,8/30/2017,8/30/2017 11:04, ,,1
NC17_10190,1190,10190,6,24,155,1,TX-2364, AZ_16_175  ,50% open boll,8/30/2017,8/30/2017 11:05, ,,1
NC17_10183,1183,10183,7,23,41,1,TX-2356,AZ_14_631,50% open boll,8/30/2017,8/30/2017 11:06, ,,1
NC17_10175,1175,10175,7,22,58,1,TX-2383,AZ_14_653,50% open boll,8/30/2017,8/30/2017 11:06, ,,1
NC17_10166,1166,10166,6,21,188,1,TX-1076, AZ_16_211  ,50% open boll,8/30/2017,8/30/2017 11:06, ,,1
NC17_10164,1164,10164,4,21,216,1,DES56,AZ_16_240,50% open boll,8/30/2017,8/30/2017 11:06, ,,1
NC17_10161,1161,10161,1,21,192,1,TX-1364-4, AZ_16_215  ,50% open boll,8/30/2017,8/30/2017 11:06, ,,1
NC17_10160,1160,10160,8,20,218,1,PMHS200,AZ_16_242,50% open boll,8/30/2017,8/30/2017 11:07, ,,1
NC17_10149,1149,10149,5,19,201,1,TX-1213, AZ_16_224  ,50% open boll,8/30/2017,8/30/2017 11:07, ,,1
NC17_10141,1141,10141,5,18,26,1,TX-2358,AZ_14_615,50% open boll,8/30/2017,8/30/2017 11:08, ,,1
NC17_10136,1136,10136,8,17,111,1,TX-1003-4,AZ_14_844,50% open boll,8/30/2017,8/30/2017 11:08, ,,1
NC17_10122,1122,10122,2,16,53,1,TX-2374,AZ_14_647,50% open boll,8/30/2017,8/30/2017 11:09, ,,1
NC17_10119,1119,10119,7,15,17,1,TX-1303,AZ_14_595,50% open boll,8/30/2017,8/30/2017 11:09, ,,1
NC17_10113,1113,10113,1,15,151,1,TX-2313, AZ_16_170  ,50% open boll,8/30/2017,8/30/2017 11:09, ,,1
NC17_10110,1110,10110,6,14,138,1,TX-373, AZ_16_157  ,50% open boll,8/30/2017,8/30/2017 11:09, ,,1
NC17_10109,1109,10109,5,14,62,1,TX-2394,AZ_14_659,50% open boll,8/30/2017,8/30/2017 11:09, ,,1
NC17_10108,1108,10108,4,14,142,1,TX-1215, AZ_16_161  ,50% open boll,8/30/2017,8/30/2017 11:09, ,,1
NC17_10105,1105,10105,1,14,27,1,TX-2319,AZ_14_616,50% open boll,8/30/2017,8/30/2017 11:10, ,,1
NC17_10104,1104,10104,8,13,152,1,TX-2317, AZ_16_172  ,50% open boll,8/30/2017,8/30/2017 11:10, ,,1
NC17_10102,1102,10102,6,13,42,1,TX-2357,AZ_14_632,50% open boll,8/30/2017,8/30/2017 11:10, ,,1
NC17_10098,1098,10098,2,13,29,1,TX-2322,AZ_14_619,50% open boll,8/30/2017,8/30/2017 11:10, ,,1
NC17_10097,1097,10097,1,13,154,1,TX-2361, AZ_16_174  ,50% open boll,8/30/2017,8/30/2017 11:10, ,,1
NC17_10094,1094,10094,6,12,220,1,PD94042,AZ_15_140,50% open boll,8/30/2017,8/30/2017 11:10, ,,1
NC17_10089,1089,10089,1,12,153,1,TX-2359, AZ_16_173  ,50% open boll,8/30/2017,8/30/2017 11:11, ,,1
NC17_10088,1088,10088,8,11,198,1,TX-1300-3, AZ_16_221  ,50% open boll,8/30/2017,8/30/2017 11:11, ,,1
NC17_10084,1084,10084,4,11,60,1,TX-2385,AZ_14_655,50% open boll,8/30/2017,8/30/2017 11:12, ,,1
NC17_10082,1082,10082,2,11,69,1,TX-1585-3,AZ_14_674,50% open boll,8/30/2017,8/30/2017 11:12, ,,1
NC17_10081,1081,10081,1,11,34,1,TX-2347,AZ_14_624,50% open boll,8/30/2017,8/30/2017 11:12, ,,1
NC17_10075,1075,10075,3,10,149,1,TX-2074, AZ_16_168  ,50% open boll,8/30/2017,8/30/2017 11:12, ,,1
NC17_10065,1065,10065,1,9,59,1,TX-2384,AZ_14_654,50% open boll,8/30/2017,8/30/2017 11:13, ,,1
NC17_10064,1064,10064,8,8,30,1,TX-2316,AZ_14_620,50% open boll,8/30/2017,8/30/2017 11:13, ,,1
NC17_10050,1050,10050,2,7,61,1,TX-2321,AZ_14_657,50% open boll,8/30/2017,8/30/2017 11:14, ,,1
NC17_10038,1038,10038,6,5,143,1,TX-1305, AZ_16_162  ,50% open boll,8/30/2017,8/30/2017 11:14, ,,1
NC17_10035,1035,10035,3,5,16,1,TX-1302,AZ_14_594,50% open boll,8/30/2017,8/30/2017 11:14, ,,1
NC17_10027,1027,10027,3,4,158,1,TX-2355, AZ_16_178  ,50% open boll,8/30/2017,8/30/2017 11:15, ,,1
NC17_10025,1025,10025,1,4,178,1,TX-2390-1, AZ_16_201  ,50% open boll,8/30/2017,8/30/2017 11:15, ,,1
NC17_10018,1018,10018,2,3,52,1,TX-2318,AZ_14_646,50% open boll,8/30/2017,8/30/2017 11:15, ,,1
NC17_10015,1015,10015,7,2,18,1,TX-1304,AZ_14_596,50% open boll,8/30/2017,8/30/2017 11:16, ,,1
NC17_20001,2001,20001,1,29,154,2,TX-2361, AZ_16_174  ,50% open boll,8/30/2017,8/30/2017 11:17, ,,1
NC17_20009,2009,20009,1,30,178,2,TX-2390-1, AZ_16_201  ,50% open boll,8/30/2017,8/30/2017 11:17, ,,1
NC17_20013,2013,20013,5,30,55,2,TX-2376,AZ_14_649,50% open boll,8/30/2017,8/30/2017 11:17, ,,1
NC17_20016,2016,20016,8,30,156,2,TX-2382, AZ_16_176  ,50% open boll,8/30/2017,8/30/2017 11:18, ,,1
NC17_20017,2017,20017,1,31,60,2,TX-2385,AZ_14_655,50% open boll,8/30/2017,8/30/2017 11:18, ,,1
NC17_20018,2018,20018,2,31,149,2,TX-2074, AZ_16_168  ,50% open boll,8/30/2017,8/30/2017 11:18, ,,1
NC17_20031,2031,20031,7,32,47,2,TX-2363,AZ_14_639,50% open boll,8/30/2017,8/30/2017 11:18, ,,1
NC17_20034,2034,20034,2,33,62,2,TX-2394,AZ_14_659,50% open boll,8/30/2017,8/30/2017 11:19, ,,1
NC17_20035,2035,20035,3,33,111,2,TX-1003-4,AZ_14_844,50% open boll,8/30/2017,8/30/2017 11:19, ,,1
NC17_20043,2043,20043,3,34,201,2,TX-1213, AZ_16_224  ,50% open boll,8/30/2017,8/30/2017 11:19, ,,1
NC17_20045,2045,20045,5,34,216,2,DES56,AZ_16_240,50% open boll,8/30/2017,8/30/2017 11:19, ,,1
NC17_20053,2053,20053,5,35,46,2,TX-2362,AZ_14_638,50% open boll,8/30/2017,8/30/2017 11:19, ,,1
NC17_20055,2055,20055,7,35,30,2,TX-2316,AZ_14_620,50% open boll,8/30/2017,8/30/2017 11:19, ,,1
NC17_20059,2059,20059,3,36,155,2,TX-2364, AZ_16_175  ,50% open boll,8/30/2017,8/30/2017 11:20, ,,1
NC17_20063,2063,20063,7,36,191,2,TX-2389-2, AZ_16_214  ,50% open boll,8/30/2017,8/30/2017 11:20, ,,1
NC17_20064,2064,20064,8,36,158,2,TX-2355, AZ_16_178  ,50% open boll,8/30/2017,8/30/2017 11:20, ,,1
NC17_20068,2068,20068,4,37,69,2,TX-1585-3,AZ_14_674,50% open boll,8/30/2017,8/30/2017 11:20, ,,1
NC17_20070,2070,20070,6,37,45,2,TX-2360,AZ_14_636,50% open boll,8/30/2017,8/30/2017 11:20, ,,1
NC17_20071,2071,20071,7,37,41,2,TX-2356,AZ_14_631,50% open boll,8/30/2017,8/30/2017 11:20, ,,1
NC17_20091,2091,20091,3,40,218,2,PMHS200,AZ_16_242,50% open boll,8/30/2017,8/30/2017 11:21, ,,1
NC17_20096,2096,20096,8,40,148,2,TX-1425-1, AZ_16_167  ,50% open boll,8/30/2017,8/30/2017 11:21, ,,1
NC17_20100,2100,20100,4,41,153,2,TX-2359, AZ_16_173  ,50% open boll,8/30/2017,8/30/2017 11:22, ,,1
NC17_20114,2114,20114,2,43,126,2,TX-1301,AZ_15_008,50% open boll,8/30/2017,8/30/2017 11:22, ,,1
NC17_20119,2119,20119,7,43,151,2,TX-2313, AZ_16_170  ,50% open boll,8/30/2017,8/30/2017 11:23, ,,1
NC17_20124,2124,20124,4,44,42,2,TX-2357,AZ_14_632,50% open boll,8/30/2017,8/30/2017 11:23, ,,1
NC17_20126,2126,20126,6,44,59,2,TX-2384,AZ_14_654,50% open boll,8/30/2017,8/30/2017 11:23, ,,1
NC17_20128,2128,20128,8,44,34,2,TX-2347,AZ_14_624,50% open boll,8/30/2017,8/30/2017 11:23, ,,1
NC17_20132,2132,20132,4,45,150,2,TX-2311, AZ_16_169  ,50% open boll,8/30/2017,8/30/2017 11:23, ,,1
NC17_20142,2142,20142,6,46,51,2,TX-2372,AZ_14_645,50% open boll,8/30/2017,8/30/2017 11:24, ,,1
NC17_20154,2154,20154,2,48,39,2,TX-2354,AZ_14_629,50% open boll,8/30/2017,8/30/2017 11:24, ,,1
NC17_20160,2160,20160,8,48,174,2,TX-1094, AZ_16_197  ,50% open boll,8/30/2017,8/30/2017 11:24, ,,1
NC17_20166,2166,20166,6,49,40,2,TX-2373,AZ_14_630,50% open boll,8/30/2017,8/30/2017 11:25, ,,1
NC17_20168,2168,20168,8,49,24,2,TX-2308,AZ_14_609,50% open boll,8/30/2017,8/30/2017 11:25, ,,1
NC17_20179,2179,20179,3,51,58,2,TX-2383,AZ_14_653,50% open boll,8/30/2017,8/30/2017 11:26, ,,1
NC17_20182,2182,20182,6,51,190,2,TX-2389-1, AZ_16_213  ,50% open boll,8/30/2017,8/30/2017 11:26, ,,1
NC17_20184,2184,20184,8,51,143,2,TX-1305, AZ_16_162  ,50% open boll,8/30/2017,8/30/2017 11:26, ,,1
NC17_20191,2191,20191,7,52,138,2,TX-373, AZ_16_157  ,50% open boll,8/30/2017,8/30/2017 11:26, ,,1
NC17_20202,2202,20202,2,54,16,2,TX-1302,AZ_14_594,50% open boll,8/30/2017,8/30/2017 11:26, ,,1
NC17_20204,2204,20204,4,54,167,2,TX-597-1, AZ_16_190  ,50% open boll,8/30/2017,8/30/2017 11:26, ,,1
NC17_20210,2210,20210,2,55,188,2,TX-1076, AZ_16_211  ,50% open boll,8/30/2017,8/30/2017 11:27, ,,1
NC17_20211,2211,20211,3,55,61,2,TX-2321,AZ_14_657,50% open boll,8/30/2017,8/30/2017 11:27, ,,1
NC17_20215,2215,20215,7,55,142,2,TX-1215, AZ_16_161  ,50% open boll,8/30/2017,8/30/2017 11:27, ,,1
NC17_20217,2217,20217,1,56,26,2,TX-2358,AZ_14_615,50% open boll,8/30/2017,8/30/2017 11:27, ,,1
NC17_20218,2218,20218,2,56,179,2,TX-2390-3, AZ_16_202  ,50% open boll,8/30/2017,8/30/2017 11:27, ,,1
NC17_20219,2219,20219,3,56,54,2,TX-2375,AZ_14_648,50% open boll,8/30/2017,8/30/2017 11:27, ,,1
NC17_20221,2221,20221,5,56,152,2,TX-2317, AZ_16_172  ,50% open boll,8/30/2017,8/30/2017 11:27, ,,1
NC17_30218,3218,30218,2,84,190,3,TX-2389-1, AZ_16_213  ,50% open boll,8/30/2017,8/30/2017 11:30, ,,1
NC17_30217,3217,30217,1,84,135,3,RED,,50% open boll,8/30/2017,8/30/2017 11:30, ,,1
NC17_30215,3215,30215,7,83,142,3,TX-1215, AZ_16_161  ,50% open boll,8/27/2017,8/30/2017 11:30, ,,1
NC17_30210,3210,30210,2,83,223,3,PHY-72,AZ_15,50% open boll,8/30/2017,8/30/2017 11:30, ,,1
NC17_30204,3204,30204,4,82,39,3,TX-2354,AZ_14_629,50% open boll,8/30/2017,8/30/2017 11:31, ,,1
NC17_30202,3202,30202,2,82,41,3,TX-2356,AZ_14_631,50% open boll,8/30/2017,8/30/2017 11:31, ,,1
NC17_30201,3201,30201,1,82,218,3,PMHS200,AZ_16_242,50% open boll,8/30/2017,8/30/2017 11:31, ,,1
NC17_30198,3198,30198,6,81,58,3,TX-2383,AZ_14_653,50% open boll,8/27/2017,8/30/2017 11:31, ,,1
NC17_30196,3196,30196,4,81,34,3,TX-2347,AZ_14_624,50% open boll,8/30/2017,8/30/2017 11:31, ,,1
NC17_30192,3192,30192,8,80,111,3,TX-1003-4,AZ_14_844,50% open boll,8/30/2017,8/30/2017 11:32, ,,1
