plot_id,row,column,barcode,al_col,iblock,rep,Irr,loc,entry,source,name,identity,stand,flowering_notes,hairiness,date_50pct_open,days_to_50pct_open,yield_rating,sc_wt,Scyld_ac,25_boll_wt,boll_no_ha,fuzzy_seed_wt,Lint_wt,LintPct,Lyld_ac,Lyd_kg_ha,mic,UHM,UI,Str,Elo,SFC
1001,1,1,,1,1,1,WL,Sandhills,169,AZ_2014_846,TX-1042-2,15_2,3,2016.7.13,2,9.23,134,2,1,393,74,148815,51,23,0.31,121.83,136.5530643,5.01,1,81.4,30.7,6.3,9.1
1002,2,1,,2,1,1,WL,Sandhills,186,AZ_2014_885,TX-932,158_1,1,2016.7.13,3,8.31,112,2,0.6,235.8,100,66077,61,37,0.37,87.25,97.79409715,3.79,0.9,77.2,25.1,5.3,13.2
1003,3,1,,3,1,1,WL,Sandhills,102,AZ_2014_694,TX-2-1,76_1,4,2016.7.6,2,9.23,134,3,1.8,707.4,92,215461,63,29,0.32,226.37,253.726645,4.61,0.94,79.3,29,5.5,9.6
1004,4,1,,4,1,1,WL,Sandhills,11,AZ_2014_577,TX-373,11_1,1,2016.7.6,4,9.23,134,2,1,393,121,91011,80,37,0.31,121.83,136.5530643,4.36,0.92,78.8,25.2,5.1,11.9
1005,5,1,,5,1,1,WL,Sandhills,192,AZ_2014_894,TX-1300-3,45_3,1,2016.7.6,2,8.31,112,2,1,393,113,97454,70,40,0.35,137.55,154.1728145,3.69,1,80.1,25.7,4.4,10.7
1006,6,1,,6,1,1,WL,Sandhills,158,AZ_2014_825,TX-460-1,140_1,2,2016.7.13,2,9.23,134,2,1.8,707.4,114,173881,77,36,0.32,226.37,253.726645,4.69,1,80.2,27,5.8,10.1
1007,7,1,,7,1,1,WL,Sandhills,46,AZ_2014_617,TX-2320,91_1,4,2016.7.6,2,9.23,134,2,1.4,550.2,114,135236,75,37,0.32,176.06,197.3367191,3.68,1.05,80.1,30.7,5,8.4
1008,8,1,,8,1,1,WL,Sandhills,13,AZ_2014_582,TX-1122,24_1,3,2016.7.6,2,9.14,125,2,1,393,96,114712,66,30,0.31,121.83,136.5530643,4.66,1.13,80.7,35.4,5.9,8.2
1009,9,1,,1,2,1,WL,Sandhills,195,AZ_2015_005,TX-1213,168_1,5,2016.7.6,3,8.29,112,3,1.6,628.8,109,161648,71,37,0.34,213.79,239.6263614,4.01,0.93,75.9,25.4,4.9,15.5
1010,10,1,,2,2,1,WL,Sandhills,27,AZ_2014_598,TX-1306,50_1,4,2016.7.13,3,9.14,125,3,1.6,628.8,137,128614,85,51,0.37,232.66,260.7767867,4.65,0.98,78.8,30,5.8,10.3
1011,11,1,,3,2,1,WL,Sandhills,175,AZ_2014_865,TX-1270-2,43_2,3,2016.6.29,2,9.9,119,1,0.6,235.8,100,66071,67,33,0.33,77.81,87.21328022,4,0.93,79.4,25.6,4.6,10.8
1012,12,1,,4,2,1,WL,Sandhills,140,AZ_2014_796,TX-1364-2,59_2,4,2016.7.13,3,9.14,125,3,1.6,628.8,96,183537,61,33,0.34,213.79,239.6263614,5.36,0.96,77.4,27.4,4.7,11.7
1013,13,1,,5,2,1,WL,Sandhills,83,AZ_2014_656,TX-2386,129_1,4,2016.7.6,3,9.14,125,2,1,393,97,113529,64,30,0.31,121.83,136.5530643,5.06,0.96,78.6,28.3,5.5,13
1014,14,1,,6,2,1,WL,Sandhills,60,AZ_2014_632,TX-2357,107_1,5,2016.6.29,3,8.31,112,3,1.8,707.4,122,162480,73,47,0.39,275.89,309.2310999,4.64,1.01,78.5,27.4,4.9,10.3
1015,15,1,,7,2,1,WL,Sandhills,144,AZ_2014_805,TX-2403-2,136_2,1,2016.7.13,3,9.23,134,1,0.8,314.4,115,76608,78,35,0.3,94.32,105.7185014,4.5,0.97,80.6,27.3,4,10.2
1016,16,1,,8,2,1,WL,Sandhills,166,AZ_2014_839,TX-933,159_1,5,2016.7.6,2,9.14,125,2,1.8,707.4,102,194339,67,35,0.34,240.52,269.5866619,4.63,1.09,81.2,30.1,5.4,9
1017,16,2,,1,3,1,WL,Sandhills,200,AZ_2015_024,TX-1914-1,174_1,4,2016.7.13,3,9.23,134,2,1.4,550.2,90,171305,58,31,0.34,187.07,209.6772694,4.42,1.11,79.2,35,6.1,9
1018,15,2,,2,3,1,WL,Sandhills,30,AZ_2014_601,TX-1321,54_1,4,2016.7.13,1,9.14,125,2,1.6,628.8,126,139839,75,50,0.4,251.52,281.9160036,4.52,1.04,77.1,28.9,5.3,10.6
1019,14,2,,3,3,1,WL,Sandhills,100,AZ_2014_690,TX-2022-2,78_2,5,2016.7.6,1,9.14,125,2,1.4,550.2,90,171307,59,30,0.33,181.57,203.5125985,5.16,1.04,81.1,26.8,4.2,9.4
1020,13,2,,4,3,1,WL,Sandhills,137,AZ_2014_786,TX-1211,38_1,4,2016.7.6,3,9.14,125,2,1.6,628.8,86,204877,57,28,0.33,207.5,232.5762196,4.99,0.93,79.3,25,6.1,11.3
