plot,bloc,entry,name,r_expt,r_location,loccode,loc,year1,source,identity1,BARCODE,pedigree,seedyield,syld_kg,GIN,LYLD,lyld_kg,UHM,uhm_mm,MIC,UI,STR,str_kg,SFC%,ELO,q_score1,q_score2
6101,1,1,DP393,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,GEN 11-12_46,DP393,Ì2014AYT-1-FLOÂ6101ÂÂYÎ ,CHECK,2024,2267,44.4,898,1006,1.06,26.92,5.2,83.8,30.6,300,7.8,6.0,42,70
6102,1,2,Phytogen 72,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,GEN 11-12_47,Phytogen 72,Ì2014AYT-1-FLOÂ6102ÂÂkÎ ,,1041,1166,40.6,423,474,1.11,28.19,4.7,82.9,32.9,323,7.5,5.6,65,72
6103,1,3,PHY499WRF,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,PHYTOGEN,PHY499WRF,Ì2014AYT-1-FLOÂ6103ÂÂ}Î ,,1651,1849,47.1,778,871,1.05,26.67,5.2,81.9,29.1,285,8.5,7.1,33,58
6104,1,4,PHY375WRF,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,PHYTOGEN,PHY375WRF,Ì2014AYT-1-FLOÂ6104ÂÂ(Î ,,2399,2687,44.4,1066,1194,0.98,24.89,4.1,79.7,26.1,256,10.3,5.1,25,10
6105,1,5,PD2012004,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1015,08NM04,Ì2014AYT-1-FLOÂ6105ÂÂ:Î ,NM03012/LA05307029,2421,2711,38.7,938,1050,1.15,29.21,4.9,82.7,35.2,345,7.5,4.8,72,77
6106,1,6,PD2012007,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1024,08NM77,Ì2014AYT-1-FLOÂ6106ÂÂLÎ ,TAM B182-34/0147-22ne,1140,1276,40.1,457,512,1.11,28.19,4.6,82.6,32.3,317,8.4,4.5,65,71
6107,1,7,PD2012008,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1025,08NM77,Ì2014AYT-1-FLOÂ6107ÂÂ^Î ,TAM B182-34/0147-22ne,2279,2553,39.0,889,995,1.20,30.48,4.4,82.8,32.9,323,8.0,4.4,91,77
6108,1,8,PD2012011,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1034,08NM77,Ì2014AYT-1-FLOÂ6108ÂÂpÎ ,TAM B182-34/0147-22ne,2354,2637,44.6,1051,1177,1.08,27.43,4.5,81.6,32.1,315,8.9,5.1,54,63
6109,1,9,PD2012017,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1060,08NM57,Ì2014AYT-1-FLOÂ6109ÂÂÆÎ ,Ark0012-03-08/TAM B182-34,2162,2421,44.3,958,1073,1.10,27.94,4.9,82.9,31.6,310,8.0,5.3,56,69
6110,1,10,PD2012018,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1062,08NM57,Ì2014AYT-1-FLOÂ6110ÂÂXÎ ,Ark0012-03-08/TAM B182-34,2044,2289,40.8,834,934,1.12,28.45,4.9,82.2,31.6,310,7.5,4.6,61,67
6111,1,11,PD2012021,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1065,08NM57,Ì2014AYT-1-FLOÂ6111ÂÂjÎ ,Ark0012-03-08/TAM B182-34,2162,2421,40.6,877,982,1.10,27.94,4.8,80.5,31.6,310,8.7,4.9,53,56
6112,1,12,PD2012024,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1071,08NM72,Ì2014AYT-1-FLOÂ6112ÂÂ|Î ,LA05307029/TAM B182-34,2209,2474,43.4,958,1073,1.09,27.69,4.8,82.3,30.5,299,8.0,5.0,53,66
6113,1,13,PD2012025,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1075,08NM72,Ì2014AYT-1-FLOÂ6113ÂÂ'Î ,LA05307029/TAM B182-34,2083,2333,41.8,872,976,1.12,28.45,4.8,83.4,31.1,305,7.6,4.5,66,75
6114,1,14,PD2012027,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1080,08NM71,Ì2014AYT-1-FLOÂ6114ÂÂ9Î ,GA2004243/AU-5491,1297,1453,42.5,551,617,1.10,27.94,4.8,81.9,30.1,295,8.4,4.6,56,64
6115,1,15,PD2012032,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1108,08NM60,Ì2014AYT-1-FLOÂ6115ÂÂKÎ ,Ark0012-03-08/AU-5491,2032,2276,41.8,850,952,1.18,29.97,4.3,84.5,33.5,329,7.7,4.5,91,87
6116,1,16,PD2012034,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1141,08NM69,Ì2014AYT-1-FLOÂ6116ÂÂ]Î ,GA2004243/04PST-250,2220,2487,43.7,969,1086,1.14,28.96,4.1,81.8,33.0,324,8.3,5.0,71,68
6117,1,17,PD2012037,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1156,08NM70,Ì2014AYT-1-FLOÂ6117ÂÂoÎ ,GA2004243/0147-22ne,2122,2377,42.6,905,1014,1.18,29.97,4.7,83.5,33.5,329,7.4,4.9,86,80
6118,1,18,PD2012044,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1223,08NM68,Ì2014AYT-1-FLOÂ6118ÂÂÅÎ ,GA2004243/TAM B182-34,1120,1254,39.3,440,492,1.29,32.77,4.5,84.3,36.1,354,6.8,4.4,98,97
6119,1,19,PD2012045,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1224,08NM68,"Ì2014AYT-1-FLOÂ6119ÂÂ,Î ",GA2004243/TAM B182-34,1965,2201,43.6,857,960,1.14,28.96,4.6,83.2,32.5,319,8.4,4.2,75,76
6120,1,20,PD2012046,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1225,08NM68,Ì2014AYT-1-FLOÂ6120ÂÂiÎ ,GA2004243/TAM B182-34,2012,2254,40.4,812,909,1.14,28.96,4.5,81.5,29.0,284,8.7,5.2,70,66
6201,2,3,PHY499WRF,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,PHYTOGEN,PHY499WRF,Ì2014AYT-1-FLOÂ6201ÂÂiÎ ,,1827,2047,48.1,879,984,0.99,25.15,5.4,81.8,26.6,261,9.2,6.2,14,15
6202,2,19,PD2012045,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1224,08NM68,Ì2014AYT-1-FLOÂ6202ÂÂ{Î ,GA2004243/TAM B182-34,884,990,41.8,369,414,1.16,29.46,4.7,82.5,31.2,306,8.0,3.8,77,72
6203,2,1,DP393,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,GEN 11-12_46,DP393,Ì2014AYT-1-FLOÂ6203ÂÂ&Î ,CHECK,1317,1475,45.0,592,664,1.02,25.91,4.9,81.7,30.3,297,8.8,6.0,32,58
6204,2,14,PD2012027,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1080,08NM71,Ì2014AYT-1-FLOÂ6204ÂÂ8Î ,GA2004243/AU-5491,1002,1122,43.8,438,491,1.01,25.65,4.8,82.2,29.0,284,9.8,4.5,36,62
6205,2,11,PD2012021,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1065,08NM57,Ì2014AYT-1-FLOÂ6205ÂÂJÎ ,Ark0012-03-08/TAM B182-34,2417,2707,39.3,950,1063,1.10,27.94,4.6,80.8,30.8,302,8.3,4.5,57,59
6206,2,16,PD2012034,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1141,08NM69,Ì2014AYT-1-FLOÂ6206ÂÂ\Î ,GA2004243/04PST-250,1572,1761,43.2,678,760,1.13,28.70,4.7,81.6,33.0,324,8.6,4.9,66,65
6207,2,6,PD2012007,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1024,08NM77,Ì2014AYT-1-FLOÂ6207ÂÂnÎ ,TAM B182-34/0147-22ne,1611,1805,39.6,637,714,1.14,28.96,4.8,83.5,32.8,322,7.9,4.5,73,77
6208,2,20,PD2012046,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1225,08NM68,Ì2014AYT-1-FLOÂ6208ÂÂÄÎ ,GA2004243/TAM B182-34,1749,1959,41.4,724,811,1.09,27.69,5.0,81.4,30.8,302,8.2,5.2,48,59
6209,2,12,PD2012024,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1071,08NM72,Ì2014AYT-1-FLOÂ6209ÂÂ+Î ,LA05307029/TAM B182-34,1827,2047,43.2,790,885,1.08,27.43,4.7,81.8,32.3,317,8.0,4.7,52,63
6210,2,7,PD2012008,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,1025,08NM77,Ì2014AYT-1-FLOÂ6210ÂÂhÎ ,TAM B182-34/0147-22ne,1474,1651,40.1,592,663,1.18,29.97,4.9,83.6,36.5,358,7.2,4.8,83,88
6211,2,2,Phytogen 72,2014 AYT-1 FLORENCE,FLORENCE,FLO,1,2014,GEN 11-12_47,Phytogen 72,Ì2014AYT-1-FLOÂ6211ÂÂzÎ ,,1827,2047,41.9,765,857,1.11,28.19,5.0,82.7,32.9,323,8.2,5.1,57,68
