row,cross,trees,Total
1,SC15-01,1-291,291
2,SC15-01,1-112,112
2,SC15-11,113-291,178
3,SC15-11,1-22,22
3,SC15-12,23-222,200
3,SC15-10,223-287,65
4,SC15-10,1-135,135
4,SC15-9,136-248,113
4,SC15-2,249-287,39
5,SC15-2,1-51,51
5,SC15-15,52-115,64
5,SC15-5,116-229,114
6,SC15-5,1-6,6
6,SC15-8,7-158,152
6,SC15-7,159-228,70
7,SC15-7,1-93,93
7,SC15-13,94-166,73
8,SC15-13,1-43,43
8,SC15-3,44-112,69
8,SC15-4,113-166,54
9,SC15-9,1-1,1
9,SC15-4,2-33,32
9,SC15-16,34-90,57
9,SC15-14,91-93,3
10,SC15-14,1-2,2
10,SC15-16,3-29,27
10,SC15-14,30-91,62
10,SC11-08-010M,92,1
