unique_id,accession,primary_order,secondary_order,Search ,trait,value,timestamp,person,location,number
P28J_SC14-21-011,SC14-21-011,4,56,21011,Ripe Date,6/23/2017,2017-06-23 09:55:56+0000, ,,1
P28J_SC14-21-011,SC14-21-011,4,56,21011,Rank,5,2017-06-23 09:55:58+0000, ,,1
P28J_SC14-21-011,SC14-21-011,4,56,21011,Notes,wfl  ,2017-06-23 09:56:03+0000, ,,1
P28J_SC14-21-026,SC14-21-026,4,71,21026,Ripe Date,6/23/2017,2017-06-23 09:56:54+0000, ,,1
P28J_SC14-21-026,SC14-21-026,4,71,21026,Rank,5,2017-06-23 09:56:56+0000, ,,1
P28J_SC14-21-032,SC14-21-032,4,77,21032,Ripe Date,6/23/2017,2017-06-23 09:57:28+0000, ,,1
P28J_SC14-21-032,SC14-21-032,4,77,21032,Rank,6,2017-06-23 09:57:29+0000, ,,1
P28J_SC14-21-040,SC14-21-040,4,85,21040,Ripe Date,6/15/2017,2017-06-23 09:58:00+0000, ,,1
P28J_SC14-21-040,SC14-21-040,4,85,21040,Rank,6,2017-06-23 09:58:02+0000, ,,1
P28J_SC14-21-045,SC14-21-045,4,90,21045,Rank,4,2017-06-23 09:58:28+0000, ,,1
P28J_SC14-21-052,SC14-21-052,4,97,21052,Ripe Date,6/23/2017,2017-06-23 09:58:54+0000, ,,1
P28J_SC14-21-052,SC14-21-052,4,97,21052,Rank,5,2017-06-23 09:58:55+0000, ,,1
P28J_SC14-21-071,SC14-21-071,4,116,21071,Ripe Date,6/23/2017,2017-06-23 09:59:33+0000, ,,1
P28J_SC14-21-071,SC14-21-071,4,116,21071,Rank,3,2017-06-23 09:59:35+0000, ,,1
P28J_SC14-21-081,SC14-21-081,4,126,21081,Ripe Date,6/23/2017,2017-06-23 09:59:51+0000, ,,1
P28J_SC14-21-081,SC14-21-081,4,126,21081,Rank,2,2017-06-23 09:59:52+0000, ,,1
P28J_SC14-21-089,SC14-21-089,4,134,21089,Ripe Date,6/23/2017,2017-06-23 10:00:22+0000, ,,1
P28J_SC14-21-089,SC14-21-089,4,134,21089,Rank,5,2017-06-23 10:00:23+0000, ,,1
P28J_SC14-21-095,SC14-21-095,17,141,21095,Ripe Date,6/26/2017,2017-06-26 12:57:59+0000, ,,1
P28J_SC14-21-095,SC14-21-095,17,141,21095,Rank,6,2017-06-26 12:58:21+0000, ,,1
P28J_SC14-3-006,SC14-03-006,17,132,3006,Ripe Date,6/26/2017,2017-06-26 12:59:28+0000, ,,1
P28J_SC14-3-006,SC14-03-006,17,132,3006,Rank,5,2017-06-26 12:59:30+0000, ,,1
P28J_SC14-3-006,SC14-03-006,17,132,3006,Notes,cling,2017-06-26 12:59:34+0000, ,,1
P28J_SC14-3-003,SC14-03-003,17,129,3003,Rank,7,2017-06-26 13:00:05+0000, ,,1
P28J_SC14-3-003,SC14-03-003,17,129,3003,Ripe Date,6/17/2017,2017-06-26 13:00:09+0000, ,,1
P28J_SC14-3-002,SC14-03-002,17,128,3002,Ripe Date,6/26/2017,2017-06-26 13:00:40+0000, ,,1
P28J_SC14-3-002,SC14-03-002,17,128,3002,Rank,8,2017-06-26 13:00:41+0000, ,,1
P28J_SC14-12-003,SC14-12-003,17,126,12003,Ripe Date,6/17/2017,2017-06-26 13:02:40+0000, ,,1
P28J_SC14-12-003,SC14-12-003,17,126,12003,Rank,6,2017-06-26 13:02:42+0000, ,,1
P28J_SC14-12-001,SC14-12-001,17,124,12001,Ripe Date,6/26/2017,2017-06-26 13:03:07+0000, ,,1
P28J_SC14-12-001,SC14-12-001,17,124,12001,Rank,6,2017-06-26 13:03:09+0000, ,,1
P28J_SC14-13-003,SC14-13-003,17,122,13003,Ripe Date,6/25/2017,2017-06-26 13:04:04+0000, ,,1
P28J_SC14-13-003,SC14-13-003,17,122,13003,Rank,5,2017-06-26 13:04:07+0000, ,,1
P28J_SC14-25-020,SC14-25-020,17,117,25020,Ripe Date,6/23/2017,2017-06-26 13:05:41+0000, ,,1
P28J_SC14-25-020,SC14-25-020,17,117,25020,Rank,6,2017-06-26 13:05:43+0000, ,,1
P28J_SC14-25-019,SC14-25-019,17,116,25019,Ripe Date,6/26/2017,2017-06-26 13:05:58+0000, ,,1
P28J_SC14-25-019,SC14-25-019,17,116,25019,Rank,6,2017-06-26 13:05:59+0000, ,,1
P28J_SC14-25-011,SC14-25-011,17,108,25011,Ripe Date,6/26/2017,2017-06-26 13:06:42+0000, ,,1
P28J_SC14-25-011,SC14-25-011,17,108,25011,Rank,5,2017-06-26 13:06:43+0000, ,,1
P28J_SC14-25-008,SC14-25-008,17,105,25008,Ripe Date,6/25/2017,2017-06-26 13:07:30+0000, ,,1
P28J_SC14-25-008,SC14-25-008,17,105,25008,Rank,7,2017-06-26 13:07:33+0000, ,,1
P28J_SC14-25-008,SC14-25-008,17,105,25008,Notes,low acid firm crunchy,2017-06-26 13:07:46+0000, ,,1
P28J_SC14-01-002,SC14-01-002,17,76,1002,Ripe Date,6/24/2017,2017-06-26 13:09:04+0000, ,,1
P28J_SC14-01-002,SC14-01-002,17,76,1002,Rank,6,2017-06-26 13:09:06+0000, ,,1
P28J_SC14-2-019,SC14-02-019,17,73,2019,Ripe Date,6/15/2017,2017-06-26 13:09:24+0000, ,,1
P28J_SC14-2-014,SC14-02-014,17,68,2014,Ripe Date,6/23/2017,2017-06-26 13:10:08+0000, ,,1
P28J_SC14-2-014,SC14-02-014,17,68,2014,Rank,4,2017-06-26 13:10:09+0000, ,,1
P28J_SC14-2-013,SC14-02-013,17,67,2013,Ripe Date,6/26/2017,2017-06-26 13:10:23+0000, ,,1
P28J_SC14-2-013,SC14-02-013,17,67,2013,Rank,6,2017-06-26 13:10:46+0000, ,,1
P28J_SC14-2-004,SC14-02-004,17,58,2004,Ripe Date,6/22/2017,2017-06-26 13:11:21+0000, ,,1
P28J_SC14-2-004,SC14-02-004,17,58,2004,Rank,6,2017-06-26 13:11:23+0000, ,,1
P28J_SC14-2-002,SC14-02-002,17,56,2002,Ripe Date,6/26/2017,2017-06-26 13:11:32+0000, ,,1
P28J_SC14-2-002,SC14-02-002,17,56,2002,Rank,4,2017-06-26 13:11:35+0000, ,,1
P28J_SC14-2-001,SC14-02-001,17,55,2001,Ripe Date,6/26/2017,2017-06-26 13:11:40+0000, ,,1
P28J_SC14-2-001,SC14-02-001,17,55,2001,Rank,5,2017-06-26 13:11:44+0000, ,,1
P28J_SC14-4-022,SC14-04-022,16,106,4022,Ripe Date,6/27/2017,2017-06-27 09:02:32+0000, ,,1
P28J_SC14-4-022,SC14-04-022,16,106,4022,Rank,4,2017-06-27 09:02:33+0000, ,,1
P28J_SC14-4-019,SC14-04-019,16,103,4019,Ripe Date,6/27/2017,2017-06-27 09:02:55+0000, ,,1
P28J_SC14-4-019,SC14-04-019,16,103,4019,Rank,3,2017-06-27 09:03:16+0000, ,,1
